y x hat B.1 B.2 B.3 B.4 B.5 B.6 B.7 B.8 B.9 B.10
-0.0589178060807741 0.12012012012012 -0.114390750595063 0.0230611396277644 -0.249057783175758 0.167289365050801 -0.05568347209787 0 0 0 0 0 0
-0.0596997259904697 0.122122122122122 -0.113796983344186 0.022234796577112 -0.249433194686996 0.17191572115573 -0.0585143063900307 0 0 0 0 0 0
-0.0605145274229064 0.124124124124124 -0.113157938125955 0.0214284332020968 -0.24971601895814 0.176569140862224 -0.061439493232135 0 0 0 0 0 0
-0.0613645566492574 0.126126126126126 -0.112478522657743 0.0206418049961987 -0.249907765731206 0.181248017464562 -0.0644605793872968 0 0 0 0 0 0
-0.0622521776036687 0.128128128128128 -0.111763644656924 0.0198746674528977 -0.250009944748215 0.185950744257023 -0.0675791116186298 0 0 0 0 0 0
-0.0631797709718988 0.13013013013013 -0.111018211840871 0.0191267760656738 -0.250024065751183 0.190675714533886 -0.0707966366892479 0 0 0 0 0 0
-0.0641497332711074 0.132132132132132 -0.110247131926958 0.0183978863280069 -0.249951638482128 0.195421321589429 -0.074114701362265 0 0 0 0 0 0
-0.0651644759210472 0.134134134134134 -0.109455312632558 0.017687753733377 -0.24979417268307 0.200185958717931 -0.0775348524007948 0 0 0 0 0 0
-0.0662264243069167 0.136136136136136 -0.108647661675043 0.0169961337752641 -0.249553178096026 0.204968019213671 -0.0810586365679512 0 0 0 0 0 0
-0.0673380168341344 0.138138138138138 -0.107829086771789 0.0163227819471481 -0.249230164463015 0.209765896370927 -0.084687600626848 0 0 0 0 0 0
-0.0685017039752959 0.14014014014014 -0.107004495640167 0.0156674537425089 -0.248826641526054 0.214577983483978 -0.0884232913405992 0 0 0 0 0 0
-0.0697199473095804 0.142142142142142 -0.106178795997552 0.0150299046548266 -0.248344119027162 0.219402673847102 -0.0922672554723183 0 0 0 0 0 0
-0.0709952185548737 0.144144144144144 -0.105356895561316 0.0144098901775811 -0.247784106708357 0.224238360754579 -0.0962210397851194 0 0 0 0 0 0
-0.0723299985928764 0.146146146146146 -0.104543702048834 0.0138071658042524 -0.247148114311657 0.229083437500687 -0.100286191042116 0 0 0 0 0 0
-0.0737267764874709 0.148148148148148 -0.103744123177478 0.0132214870283205 -0.24643765157908 0.233936297379705 -0.104464256006423 0 0 0 0 0 0
-0.0751880484966205 0.15015015015015 -0.102963066664621 0.0126526093432653 -0.245654228252645 0.238795333685911 -0.108756781441152 0 0 0 0 0 0
-0.0767163170780775 0.152152152152152 -0.102205440227638 0.0121002882425667 -0.24479935407437 0.243658939713584 -0.113165314109419 0 0 0 0 0 0
-0.078314089889178 0.154154154154154 -0.101476151583902 0.0115642792197048 -0.243874538786272 0.248525508757003 -0.117691400774337 0 0 0 0 0 0
-0.079983878781005 0.156156156156156 -0.100780108450785 0.0110443377681594 -0.242881292130371 0.253393434110446 -0.12233658819902 0 0 0 0 0 0
-0.0817281987872013 0.158158158158158 -0.100122218545662 0.0105402193814107 -0.241821123848684 0.258261109068193 -0.127102423146582 0 0 0 0 0 0
-0.0835495671077166 0.16016016016016 -0.0995073895859048 0.0100516795529384 -0.240695543683229 0.263126926924522 -0.131990452380136 0 0 0 0 0 0
-0.0854505020877753 0.162162162162162 -0.0989405292888879 0.00957847377622271 -0.239506061376025 0.267989280973711 -0.137002222662797 0 0 0 0 0 0
-0.0874335221923523 0.164164164164164 -0.0984265453719845 0.00912035754474345 -0.23825418666909 0.272846564510039 -0.142139280757678 0 0 0 0 0 0
-0.0895011449764468 0.166166166166166 -0.0979703455525677 0.0086770863519806 -0.236941429304442 0.277697170827785 -0.147403173427893 0 0 0 0 0 0
-0.0916558860514443 0.168168168168168 -0.097576837548011 0.00824841569141416 -0.235569299024099 0.282539493221228 -0.152795447436555 0 0 0 0 0 0
-0.0939002580478606 0.17017017017017 -0.0972509290756878 0.00783410105652406 -0.234139305570079 0.287371924984646 -0.15831764954678 0 0 0 0 0 0
-0.09623676957476 0.172172172172172 -0.0969975278529714 0.00743389794079029 -0.232652958684401 0.292192859412318 -0.16397132652168 0 0 0 0 0 0
-0.0986679241761463 0.174174174174174 -0.0968215415972351 0.0070475618376928 -0.231111768109083 0.297000689798523 -0.169758025124369 0 0 0 0 0 0
-0.101196219284619 0.176176176176176 -0.0967278780258523 0.00667484824071156 -0.229517243586143 0.301793809437539 -0.175679292117961 0 0 0 0 0 0
-0.103824145172597 0.178178178178178 -0.0967214448561964 0.00631551264332654 -0.227870894857598 0.306570611623646 -0.181736674265571 0 0 0 0 0 0
-0.106554183901405 0.18018018018018 -0.0968071498056409 0.0059693105390177 -0.226174231665469 0.31132948965112 -0.187931718330311 0 0 0 0 0 0
-0.109388808268529 0.182182182182182 -0.0969899005915589 0.005635997421265 -0.224428763751771 0.316068836814243 -0.194265971075296 0 0 0 0 0 0
-0.11233048075333 0.184184184184184 -0.0972746049313239 0.00531532878354841 -0.222636000858525 0.320787046407291 -0.20074097926364 0 0 0 0 0 0
-0.115381652461536 0.186186186186186 -0.0976661705423093 0.0050070601193479 -0.220797452727747 0.325482511724544 -0.207358289658456 0 0 0 0 0 0
-0.1185447620688 0.188188188188188 -0.0981695051418885 0.00471094692214342 -0.218914629101456 0.330153626060281 -0.214119449022858 0 0 0 0 0 0
-0.121822234763634 0.19019019019019 -0.0987895164474346 0.00442674468541496 -0.216989039721671 0.33479878270878 -0.22102600411996 0 0 0 0 0 0
